Year	Page	Abstract
1998	4	ARCACHON, FRANCE SEPTEMBER 11-12,
1998	4	Maximum likelihood generalized heritability estimates for blood pressure among Nigerian families.
1998	4	The necessity of individual approach to segregation analysis of some complex diseases.
1998	4	Tests and Estimates of Allelic Association in Complex Inheritance
1998	4	Inflation of Sibling Recurrence Risk Ratio Due to Ascertainment Bias and/or Over-Reporting
1998	4	Possible departure from Holman’s triangle constraints
1998	4	The (GGN) polymorphism in the androgen n receptor gene is associated with time to relapse and overall survival in men with prostate cancer.
1998	4	Natural Selection for the MTHFR Gene Mating Type Distortion
1998	4	Evidence of Linkage Disequilibrium Between POF and FRAXAC1
1999	40	The Additive Gamma Genetic Model For Linkage Analysis of Age-of-Onset Variation for Complex Diseases.
1999	40	In Search of Genes for Type
1999	40	Diabetes in West Africa the Design and Results of the First Phase of the Africa America Diabetes Mellitus (AADM) Study For the AADM Investigators.
1999	40	Likelihood Alternatives to the TDT
1999	40	Glutathione S-transferases and susceptibility to peripheral arterial disease (PAD) given exposure to cigarette smoking The ARIC Study
1999	40	A regression-based transmission/disequilibrium test for binary traits using logit link function
1999	40	Evaluation of average lod score and estimated size of modeled effects in a variance components approach
1999	40	Multipoint extension of the WPC linkage method for large pedigrees with application to breast cancer and alcoholism familial data.
1999	40	Bias and efficiency in family-matched gene association studies Conditional, prospective, retrospective, and joint likelihoods
1999	40	Detection of a dominant major gene predisposing to HTLV-I infection in a Noir-Marron population of French Giuana.
1999	40	Effects of Stratification in the Analysis of Affected Sib-Pair Data.
1999	40	Multilocus linkage tests based on affected relative pairs
1999	40	Adding further power to the Haseman and Elston Method for detecting linkage
1999	40	Demography of Genotypes The Italian Centenarians Study
1999	40	A general conditional logistic regression model for affected-relative-pair linkage studies.
1999	40	The Impact of Racial Admixture on Traditional Linkage Analysis
1999	40	Trimmed-haplotype analysis for fine-scale mapping of complex traits
1999	40	Power Comparisons Between the TDT and Two Likelihood-Based Tests for Complex Traits
1999	40	Haplotyping in pedigrees via a genetic algorithm
1999	40	High-density Genome Scans with Quantitative Traits – Resolving critical issues
1999	40	Evidence for further Breast Cancer susceptibility genes in addition to BRCA1 and BRCA2 the ABC study.
1999	40	Localization of prostate cancer aggressiveness genes
1999	40	An extended transmission/disequilibrium test (TDT) for two multi-allele marker loci
1999	40	Detecting allelic association in nuclear families.
1999	40	Linkage disequilibrium and allele frequency distributions in
1999	40	SNPs across the genome in five populations
1999	40	The use of conditional logistic regression and family-based controls to investigate association of a candidate autoimmune gene with rheumatoid arthritis
1999	40	HLA and mate selection in North Carolina populations
1999	40	Random effect models for combination of association and sib-pair analysis applied to osteoarthritis (OA)
1999	40	The relationship between the sibling recurrence risk-ratio and genotype relative risk
1999	40	Ramifications of HLA class I polymorphism and population genetics for vaccine development.
1999	40	The genetics of regional fat distribution phenotypes in the population-based National Heart, Lung, and Blood Institute Family Heart Study (NHLBI-FHS).
1999	40	Association tests with marker haplotypes.
1999	40	On a Randomization Procedure in Linkage Analysis
1999	40	Selecting contingency table in population-based association study Allele frequency or positivity?
1999	40	Homozygosity mapping and heterogeneity a challenge.
1999	40	Reproductive factors and genetic predisposition for breast cancer main effects and gene-envionment interactions. Results from a case-control study.
1999	40	Setting the prevalence constraint in linkage analysis of multifactorial diseases.
1999	40	Family ascertainment using a population-based registry of myocardial infarction Methods Results
1999	40	Comparison of Type I error rates of Haseman- Elston sib-pair linkage method in various quantitative trait models. Conclu- sion
1999	40	Incorporating Genetic Marker Information into the Analysis of Twin Survival Data A Simulation Study
1999	40	Testing for Allelic Associations in Structured Populations
1999	40	A two-locus model for nonsyndromic congenital dysplasia of the hip
1999	40	Mapping disease genes using haplotype shared lengths
1999	40	HLA associations with subtypes of juvenile idiopathic arthritis based on a latent class analysis of symptoms
1999	40	Significance and power estimates of genome scans in relation to follow up strategies.
1999	40	Design and analysis options for the estimation of gene-environment interaction from epidemiological case-control studies
1999	40	Testing Gene-environment Interaction Using Affected Sibpairs
1999	40	Extending family based tests of association using unaffected sibs, covariates, and testing for gene- gene interaction.
1999	40	A Note on the Relative Powers of TDT, S-TDT and 1-TDT Meta-analysis for interpreting results from multiple genome scans
1999	40	Tree-based Methods for Mapping Genes in Complex Diseases
1999	40	Segregation analysis of cancer in families of glioma patients.
1999	40	Segregation analysis of late onset Alzheimer’s disease evidence for a major gene
1999	40	Familial Aggregation and Patterns of inheritance of Resting Metabolic Rates in African-American Families.
1999	40	Least Squares Estimation of Variance Components for Genetic Linkage Analysis
1999	40	Testing quantitative traits for association and linkage in the presence or absence of parental data
1999	40	The Influence of Environment on Heritability of ACE and Angiotensinogen A Comparison of US Blacks and Nigerians
