Word	Year	Frequency
family	1997	16
linkage	1997	10
onset	1997	9
cancer	1997	7
trait	1997	5
gene	1997	5
chromosome	1997	5
age	1997	5
association	1997	4
interaction	1997	4
model	1997	4
geneenvironment	1997	4
disorder	1997	4
test	1997	3
phenotype	1997	3
regression	1997	3
familial	1997	3
component	1997	3
colorectal	1997	3
size	1997	3
pair	1997	3
segregation	1997	3
hla	1997	3
sib	1997	3
early	1997	3
behavior	1997	3
canc	1997	3
power	1997	2
factor	1997	2
casecontrol	1997	2
pedigree	1997	2
breast	1997	2
human	1997	2
disease	1997	2
marker	1997	2
design	1997	2
related	1997	2
evidence	1997	2
new	1997	2
allele	1997	2
smoking	1997	2
syndrome	1997	2
variable	1997	2
correlation	1997	2
clinical	1997	2
obesity	1997	2
measure	1997	2
likelihood	1997	2
logistic	1997	2
frequency	1997	2
linked	1997	2
populationbased	1997	2
history	1997	2
sampling	1997	2
sibpair	1997	2
class	1997	2
bipolar	1997	2
maximum	1997	2
inheritance	1997	2
mortality	1997	2
bivariate	1997	2
lipoprotein	1997	2
measured	1997	2
putative	1997	2
incorporation	1997	2
gibbs	1997	2
epidemiologic	1997	2
affective	1997	2
six	1997	2
fraction	1997	2
lp	1997	2
effect	1997	1
population	1997	1
locus	1997	1
complex	1997	1
multiple	1997	1
comparison	1997	1
genotype	1997	1
application	1997	1
susceptibility	1997	1
sample	1997	1
analysis	1997	1
level	1997	1
heterogeneity	1997	1
lung	1997	1
estimation	1997	1
region	1997	1
genomic	1997	1
large	1997	1
identify	1997	1
detect	1997	1
identification	1997	1
two	1997	1
presence	1997	1
affected	1997	1
estimate	1997	1
estimating	1997	1
efficient	1997	1
bias	1997	1
missing	1997	1
variance	1997	1
asthma	1997	1
survival	1997	1
different	1997	1
influence	1997	1
robust	1997	1
mixed	1997	1
outcome	1997	1
use	1997	1
index	1997	1
generalized	1997	1
environmental	1997	1
body	1997	1
linear	1997	1
mass	1997	1
schizophrenia	1997	1
multipoint	1997	1
rheumatoid	1997	1
screening	1997	1
predicting	1997	1
conditional	1997	1
contribution	1997	1
density	1997	1
autism	1997	1
alzheimer	1997	1
ratio	1997	1
within	1997	1
birth	1997	1
cleft	1997	1
germline	1997	1
group	1997	1
tdt	1997	1
nuclear	1997	1
insulin	1997	1
isolated	1997	1
map	1997	1
ethnic	1997	1
analyzing	1997	1
identified	1997	1
epistatic	1997	1
issue	1997	1
oral	1997	1
twin	1997	1
pancreatic	1997	1
penetrance	1997	1
probability	1997	1
accurate	1997	1
child	1997	1
multiplex	1997	1
ass	1997	1
calculation	1997	1
carrier	1997	1
distance	1997	1
without	1997	1
cholesterol	1997	1
efficiency	1997	1
localization	1997	1
hdl	1997	1
hereditary	1997	1
screen	1997	1
equation	1997	1
severity	1997	1
africanamerican	1997	1
resistance	1997	1
symptom	1997	1
tumor	1997	1
ascertained	1997	1
extreme	1997	1
congenital	1997	1
late	1997	1
continuous	1997	1
cause	1997	1
recombination	1997	1
hypothesis	1997	1
triglyceride	1997	1
severe	1997	1
recessive	1997	1
cross	1997	1
analytic	1997	1
probands	1997	1
dutch	1997	1
sibships	1997	1
epilepsy	1997	1
lupus	1997	1
twolocus	1997	1
computational	1997	1
future	1997	1
transmissiondisequilibrium	1997	1
sle	1997	1
brca2	1997	1
confirmation	1997	1
genotypephenotype	1997	1
systemic	1997	1
revisited	1997	1
epidemiological	1997	1
oligogenic	1997	1
interest	1997	1
death	1997	1
ii	1997	1
erythematosus	1997	1
highdensity	1997	1
predisposing	1997	1
definition	1997	1
explaining	1997	1
address	1997	1
initiative	1997	1
juvenile	1997	1
trend	1997	1
binomial	1997	1
studying	1997	1
dichotomous	1997	1
determining	1997	1
ad	1997	1
polyp	1997	1
locate	1997	1
ldl	1997	1
sibship	1997	1
discordant	1997	1
longterm	1997	1
absence	1997	1
view	1997	1
minimum	1997	1
deficit	1997	1
attention	1997	1
atypical	1997	1
myoclonic	1997	1
selfreported	1997	1
nimh	1997	1
indication	1997	1
obese	1997	1
lowdensity	1997	1
person	1997	1
extremely	1997	1
perspective	1997	1
usefulness	1997	1
linkage	1998	11
risk	1998	8
family	1998	8
cancer	1998	7
test	1998	6
familial	1998	5
trait	1998	4
gene	1998	4
susceptibility	1998	4
locus	1998	3
complex	1998	3
power	1998	3
polymorphism	1998	3
casecontrol	1998	3
breast	1998	3
marker	1998	3
evidence	1998	3
segregation	1998	3
french	1998	3
tdt	1998	3
parametric	1998	3
association	1998	2
interaction	1998	2
model	1998	2
pedigree	1998	2
heterogeneity	1998	2
design	1998	2
region	1998	2
affected	1998	2
mutation	1998	2
algorithm	1998	2
response	1998	2
use	1998	2
woman	1998	2
relative	1998	2
hla	1998	2
nonparametric	1998	2
class	1998	2
extension	1998	2
egea	1998	2
three	1998	2
database	1998	2
site	1998	2
tnf	1998	2
genomewide	1998	1
effect	1998	1
multiple	1998	1
comparison	1998	1
genotype	1998	1
application	1998	1
haplotype	1998	1
mapping	1998	1
regression	1998	1
type	1998	1
factor	1998	1
diabetes	1998	1
disease	1998	1
level	1998	1
lung	1998	1
detection	1998	1
estimation	1998	1
prostate	1998	1
candidate	1998	1
genomic	1998	1
new	1998	1
disequilibrium	1998	1
modeling	1998	1
detect	1998	1
identifying	1998	1
genegene	1998	1
patient	1998	1
number	1998	1
strategy	1998	1
american	1998	1
familybased	1998	1
allele	1998	1
set	1998	1
reveals	1998	1
pair	1998	1
asthma	1998	1
relationship	1998	1
different	1998	1
obesity	1998	1
measure	1998	1
cell	1998	1
logistic	1998	1
combined	1998	1
role	1998	1
high	1998	1
environmental	1998	1
replication	1998	1
major	1998	1
binary	1998	1
transmission	1998	1
epidemiology	1998	1
populationbased	1998	1
history	1998	1
multipoint	1998	1
rheumatoid	1998	1
arthritis	1998	1
screening	1998	1
specific	1998	1
receptor	1998	1
density	1998	1
within	1998	1
investigating	1998	1
alternative	1998	1
sib	1998	1
ascertainment	1998	1
correlated	1998	1
germline	1998	1
sibpair	1998	1
allelic	1998	1
reference	1998	1
relation	1998	1
analyzing	1998	1
identified	1998	1
sclerosis	1998	1
ovarian	1998	1
issue	1998	1
oral	1998	1
parental	1998	1
caucasian	1998	1
procedure	1998	1
status	1998	1
non	1998	1
bivariate	1998	1
simple	1998	1
increase	1998	1
screen	1998	1
carcinoma	1998	1
homozygosity	1998	1
bone	1998	1
chromosomal	1998	1
vitamin	1998	1
osteoarthritis	1998	1
excess	1998	1
twolocus	1998	1
qtls	1998	1
transmissiondisequilibrium	1998	1
sle	1998	1
interval	1998	1
preliminary	1998	1
caseonly	1998	1
brca1	1998	1
brca2	1998	1
likelihoodbased	1998	1
earlyonset	1998	1
epidemiologic	1998	1
correct	1998	1
reconstruction	1998	1
adhd	1998	1
ii	1998	1
ancestral	1998	1
select	1998	1
antigen	1998	1
overlapping	1998	1
collaborative	1998	1
abstract	1998	1
dissecting	1998	1
head	1998	1
postmenopausal	1998	1
melanomaprone	1998	1
many	1998	1
confidence	1998	1
neck	1998	1
malaria	1998	1
nevus	1998	1
bootstrap	1998	1
increasing	1998	1
mineral	1998	1
determining	1998	1
important	1998	1
localizing	1998	1
autosomal	1998	1
squamous	1998	1
codon	1998	1
sibship	1998	1
fchl	1998	1
hyperlipidemia	1998	1
useful	1998	1
dominant	1998	1
microsatellite	1998	1
copula	1998	1
chordoma	1998	1
ige	1998	1
polymorphic	1998	1
antibody	1998	1
glutathione	1998	1
linkage	1999	24
association	1999	14
trait	1999	14
family	1999	11
gene	1999	11
population	1999	9
effect	1999	8
test	1999	8
factor	1999	8
interaction	1999	7
mapping	1999	7
evidence	1999	7
cancer	1999	6
locus	1999	6
complex	1999	6
power	1999	6
scan	1999	6
disequilibrium	1999	6
component	1999	6
variance	1999	6
model	1999	5
polymorphism	1999	5
disease	1999	5
influence	1999	5
tdt	1999	5
comparison	1999	4
haplotype	1999	4
regression	1999	4
susceptibility	1999	4
level	1999	4
marker	1999	4
familial	1999	4
estimation	1999	4
heart	1999	4
two	1999	4
affected	1999	4
pair	1999	4
shared	1999	4
relative	1999	4
conditional	1999	4
risk	1999	3
genotype	1999	3
pedigree	1999	3
breast	1999	3
geneenvironment	1999	3
variation	1999	3
detecting	1999	3
disorder	1999	3
blood	1999	3
strategy	1999	3
american	1999	3
segregation	1999	3
logistic	1999	3
rate	1999	3
frequency	1999	3
major	1999	3
binary	1999	3
transmission	1999	3
populationbased	1999	3
multipoint	1999	3
arthritis	1999	3
hla	1999	3
evaluating	1999	3
sibpair	1999	3
class	1999	3
false	1999	3
mexican	1999	3
il4	1999	3
genomewide	1999	2
snp	1999	2
phenotype	1999	2
application	1999	2
type	1999	2
casecontrol	1999	2
diabetes	1999	2
human	1999	2
detection	1999	2
candidate	1999	2
dna	1999	2
region	1999	2
metaanalysis	1999	2
new	1999	2
identify	1999	2
identifying	1999	2
genegene	1999	2
information	1999	2
evaluation	1999	2
allele	1999	2
mutation	1999	2
smoking	1999	2
estimate	1999	2
algorithm	1999	2
correlation	1999	2
relationship	1999	2
pressure	1999	2
likelihood	1999	2
via	1999	2
inference	1999	2
response	1999	2
use	1999	2
combined	1999	2
search	1999	2
epidemiology	1999	2
maternal	1999	2
rheumatoid	1999	2
distribution	1999	2
aggregation	1999	2
receptor	1999	2
covariates	1999	2
cleft	1999	2
latent	1999	2
sib	1999	2
sibling	1999	2
cluster	1999	2
allelic	1999	2
relation	1999	2
oral	1999	2
extension	1999	2
repair	1999	2
ace	1999	2
measured	1999	2
enzyme	1999	2
link	1999	2
multifactorial	1999	2
regressionbased	1999	2
hasemanelston	1999	2
twolocus	1999	2
transmissiondisequilibrium	1999	2
fat	1999	2
brca1	1999	2
mismatch	1999	2
cigarette	1999	2
alcoholism	1999	2
nonsyndromic	1999	2
africa	1999	2
various	1999	2
multiple	1999	1
score	1999	1
sample	1999	1
selection	1999	1
chromosome	1999	1
heterogeneity	1999	1
randomization	1999	1
statistic	1999	1
lung	1999	1
design	1999	1
control	1999	1
prostate	1999	1
statistical	1999	1
large	1999	1
cohort	1999	1
individual	1999	1
heritability	1999	1
network	1999	1
patient	1999	1
joint	1999	1
approach	1999	1
presence	1999	1
familybased	1999	1
onset	1999	1
colorectal	1999	1
functional	1999	1
function	1999	1
estimating	1999	1
efficient	1999	1
error	1999	1
environment	1999	1
random	1999	1
bias	1999	1
impact	1999	1
size	1999	1
alzheimers	1999	1
metabolic	1999	1
stratification	1999	1
among	1999	1
survival	1999	1
simulation	1999	1
exposure	1999	1
across	1999	1
incorporating	1999	1
development	1999	1
single	1999	1
qtl	1999	1
generalized	1999	1
sharing	1999	1
environmental	1999	1
pattern	1999	1
time	1999	1
plasma	1999	1
extended	1999	1
signal	1999	1
body	1999	1
linked	1999	1
infection	1999	1
admixture	1999	1
low	1999	1
history	1999	1
sampling	1999	1
french	1999	1
general	1999	1
serum	1999	1
multilocus	1999	1
within	1999	1
modelling	1999	1
change	1999	1
fibrosis	1999	1
alternative	1999	1
ascertainment	1999	1
underlying	1999	1
descent	1999	1
significance	1999	1
challenge	1999	1
modifier	1999	1
nuclear	1999	1
subject	1999	1
alcohol	1999	1
applied	1999	1
mediation	1999	1
molecular	1999	1
sequential	1999	1
isolated	1999	1
acid	1999	1
issue	1999	1
bipolar	1999	1
measurement	1999	1
parental	1999	1
twin	1999	1
probability	1999	1
phenotypic	1999	1
investigate	1999	1
wholegenome	1999	1
etiology	1999	1
inheritance	1999	1
procedure	1999	1
positive	1999	1
cystic	1999	1
derived	1999	1
lod	1999	1
carrier	1999	1
mating	1999	1
childhood	1999	1
efficiency	1999	1
localization	1999	1
equation	1999	1
highly	1999	1
severity	1999	1
prospective	1999	1
identity	1999	1
metabolism	1999	1
offspring	1999	1
africanamerican	1999	1
apoe	1999	1
homozygosity	1999	1
combination	1999	1
symptom	1999	1
structural	1999	1
predisposition	1999	1
congenital	1999	1
lipoprotein	1999	1
censored	1999	1
late	1999	1
continuous	1999	1
behavior	1999	1
subtypes	1999	1
left	1999	1
structured	1999	1
retrospective	1999	1
finding	1999	1
founder	1999	1
regional	1999	1
fatty	1999	1
phase	1999	1
may	1999	1
first	1999	1
finescale	1999	1
north	1999	1
prevalence	1999	1
direct	1999	1
incorporation	1999	1
ventricular	1999	1
probands	1999	1
osteoarthritis	1999	1
sibships	1999	1
epilepsy	1999	1
condition	1999	1
atopy	1999	1
u	1999	1
critical	1999	1
registry	1999	1
reproductive	1999	1
idiopathic	1999	1
qtls	1999	1
recent	1999	1
area	1999	1
additive	1999	1
precision	1999	1
recurrence	1999	1
brca2	1999	1
least	1999	1
length	1999	1
robustness	1999	1
myocardial	1999	1
square	1999	1
height	1999	1
likelihoodbased	1999	1
epidemiologic	1999	1
epidemiological	1999	1
oligogenic	1999	1
mellitus	1999	1
kinship	1999	1
adhd	1999	1
psychiatric	1999	1
infarction	1999	1
negative	1999	1
antonio	1999	1
selecting	1999	1
estimated	1999	1
indirect	1999	1
modelfree	1999	1
neural	1999	1
san	1999	1
aric	1999	1
highdensity	1999	1
predisposing	1999	1
nonrandom	1999	1
racial	1999	1
national	1999	1
heterozygosity	1999	1
hypergen	1999	1
extending	1999	1
sibpairs	1999	1
juvenile	1999	1
assortative	1999	1
five	1999	1
folate	1999	1
autoimmune	1999	1
bootstrap	1999	1
dichotomous	1999	1
respect	1999	1
interpreting	1999	1
treebased	1999	1
glioma	1999	1
west	1999	1
nigerian	1999	1
survey	1999	1
comorbid	1999	1
inbred	1999	1
resolving	1999	1
apolipoprotein	1999	1
mexicanamerican	1999	1
second	1999	1
ageofonset	1999	1
hyperlipidemia	1999	1
absence	1999	1
traditional	1999	1
discrete	1999	1
singlelocus	1999	1
arterial	1999	1
dominant	1999	1
america	1999	1
categorical	1999	1
nat2	1999	1
deficiency	1999	1
centenarian	1999	1
cf	1999	1
black	1999	1
dysplasia	1999	1
path	1999	1
unaffected	1999	1
diastolic	1999	1
angiotensin	1999	1
aggressiveness	1999	1
resting	1999	1
setting	1999	1
polymorphic	1999	1
gamete	1999	1
gamma	1999	1
vaccine	1999	1
gee	1999	1
main	1999	1
glutathione	1999	1
linkage	2000	38
effect	2000	14
cancer	2000	11
power	2000	11
pedigree	2000	11
disequilibrium	2000	11
interaction	2000	10
family	2000	10
trait	2000	9
complex	2000	9
population	2000	8
locus	2000	8
genotype	2000	8
mapping	2000	8
geneenvironment	2000	7
affected	2000	7
segregation	2000	7
association	2000	6
test	2000	6
gene	2000	6
phenotype	2000	6
model	2000	6
heterogeneity	2000	6
familial	2000	6
statistical	2000	6
detect	2000	6
allele	2000	6
sibpair	2000	6
regression	2000	5
disease	2000	5
scan	2000	5
design	2000	5
prostate	2000	5
lod	2000	5
