Word	Year	Frequency	Overall Rank
family	1997	16	9
linkage	1997	10	3
onset	1997	9	123
cancer	1997	7	4
age	1997	5	88
chromosome	1997	5	50
gene	1997	5	14
trait	1997	5	6
association	1997	4	1
disorder	1997	4	96
geneenvironment	1997	4	40
interaction	1997	4	5
model	1997	4	22
behavior	1997	3	566
canc	1997	3	1562
colorectal	1997	3	126
component	1997	3	99
early	1997	3	345
familial	1997	3	59
hla	1997	3	256
pair	1997	3	151
phenotype	1997	3	18
regression	1997	3	31
segregation	1997	3	171
sib	1997	3	287
size	1997	3	145
test	1997	3	11
affective	1997	2	1274
allele	1997	2	119
bipolar	1997	2	392
bivariate	1997	2	481
breast	1997	2	38
casecontrol	1997	2	36
class	1997	2	369
clinical	1997	2	145
correlation	1997	2	142
design	1997	2	59
disease	1997	2	48
epidemiologic	1997	2	808
evidence	1997	2	66
factor	1997	2	35
fraction	1997	2	1562
frequency	1997	2	199
gibbs	1997	2	808
history	1997	2	242
human	1997	2	45
incorporation	1997	2	719
inheritance	1997	2	418
likelihood	1997	2	165
linked	1997	2	218
lipoprotein	1997	2	566
logistic	1997	2	189
lp	1997	2	1562
marker	1997	2	54
maximum	1997	2	418
measure	1997	2	165
measured	1997	2	566
mortality	1997	2	481
new	1997	2	75
obesity	1997	2	165
pedigree	1997	2	36
populationbased	1997	2	231
power	1997	2	25
putative	1997	2	652
related	1997	2	64
sampling	1997	2	242
sibpair	1997	2	300
six	1997	2	1274
smoking	1997	2	126
syndrome	1997	2	131
variable	1997	2	137
absence	1997	1	1274
accurate	1997	1	418
ad	1997	1	1274
address	1997	1	920
affected	1997	1	114
africanamerican	1997	1	523
alzheimer	1997	1	267
analysis	1997	1	45
analytic	1997	1	719
analyzing	1997	1	369
application	1997	1	24
ascertained	1997	1	523
ass	1997	1	418
asthma	1997	1	151
attention	1997	1	1562
atypical	1997	1	1562
autism	1997	1	267
bias	1997	1	142
binomial	1997	1	1072
birth	1997	1	277
body	1997	1	218
brca2	1997	1	808
calculation	1997	1	446
carrier	1997	1	446
cause	1997	1	566
child	1997	1	418
cholesterol	1997	1	481
cleft	1997	1	277
comparison	1997	1	21
complex	1997	1	17
computational	1997	1	719
conditional	1997	1	256
confirmation	1997	1	808
congenital	1997	1	566
continuous	1997	1	566
contribution	1997	1	267
cross	1997	1	652
death	1997	1	920
deficit	1997	1	1562
definition	1997	1	920
density	1997	1	267
detect	1997	1	81
determining	1997	1	1072
dichotomous	1997	1	1072
different	1997	1	159
discordant	1997	1	1274
distance	1997	1	481
dutch	1997	1	719
effect	1997	1	8
efficiency	1997	1	481
efficient	1997	1	134
environmental	1997	1	206
epidemiological	1997	1	808
epilepsy	1997	1	719
epistatic	1997	1	369
equation	1997	1	481
erythematosus	1997	1	920
estimate	1997	1	128
estimating	1997	1	134
estimation	1997	1	64
ethnic	1997	1	369
explaining	1997	1	920
extreme	1997	1	523
extremely	1997	1	1562
future	1997	1	719
generalized	1997	1	195
genomic	1997	1	73
genotype	1997	1	22
genotypephenotype	1997	1	808
germline	1997	1	300
group	1997	1	314
hdl	1997	1	481
hereditary	1997	1	481
heterogeneity	1997	1	54
highdensity	1997	1	920
hypothesis	1997	1	608
identification	1997	1	93
identified	1997	1	369
identify	1997	1	81
ii	1997	1	920
index	1997	1	195
indication	1997	1	1562
influence	1997	1	159
initiative	1997	1	1072
insulin	1997	1	345
interest	1997	1	920
isolated	1997	1	345
issue	1997	1	392
juvenile	1997	1	1072
large	1997	1	81
late	1997	1	566
ldl	1997	1	1274
level	1997	1	52
linear	1997	1	224
localization	1997	1	481
locate	1997	1	1274
locus	1997	1	13
longterm	1997	1	1274
lowdensity	1997	1	1562
lung	1997	1	59
lupus	1997	1	719
map	1997	1	369
mass	1997	1	224
minimum	1997	1	1274
missing	1997	1	151
mixed	1997	1	171
multiple	1997	1	19
multiplex	1997	1	418
multipoint	1997	1	242
myoclonic	1997	1	1562
nimh	1997	1	1562
nuclear	1997	1	345
obese	1997	1	1562
oligogenic	1997	1	920
oral	1997	1	392
outcome	1997	1	177
pancreatic	1997	1	392
penetrance	1997	1	418
person	1997	1	1562
perspective	1997	1	1562
polyp	1997	1	1274
population	1997	1	10
predicting	1997	1	256
predisposing	1997	1	920
presence	1997	1	114
probability	1997	1	418
probands	1997	1	719
ratio	1997	1	277
recessive	1997	1	608
recombination	1997	1	566
region	1997	1	73
resistance	1997	1	523
revisited	1997	1	808
rheumatoid	1997	1	242
robust	1997	1	165
sample	1997	1	34
schizophrenia	1997	1	231
screen	1997	1	481
screening	1997	1	256
selfreported	1997	1	1562
severe	1997	1	608
severity	1997	1	523
sibship	1997	1	1274
sibships	1997	1	719
sle	1997	1	808
studying	1997	1	1072
survival	1997	1	159
susceptibility	1997	1	32
symptom	1997	1	523
systemic	1997	1	808
tdt	1997	1	326
transmissiondisequilibrium	1997	1	719
trend	1997	1	1072
triglyceride	1997	1	608
tumor	1997	1	523
twin	1997	1	392
two	1997	1	108
twolocus	1997	1	719
use	1997	1	177
usefulness	1997	1	1562
variance	1997	1	151
view	1997	1	1274
within	1997	1	277
without	1997	1	481
linkage	1998	11	3
family	1998	8	9
risk	1998	8	2
cancer	1998	7	4
test	1998	6	11
familial	1998	5	59
gene	1998	4	14
susceptibility	1998	4	32
trait	1998	4	6
breast	1998	3	38
casecontrol	1998	3	36
complex	1998	3	17
evidence	1998	3	66
french	1998	3	256
locus	1998	3	13
marker	1998	3	54
parametric	1998	3	719
polymorphism	1998	3	28
power	1998	3	25
segregation	1998	3	171
tdt	1998	3	326
affected	1998	2	114
algorithm	1998	2	137
association	1998	2	1
class	1998	2	369
database	1998	2	481
design	1998	2	59
egea	1998	2	446
extension	1998	2	418
heterogeneity	1998	2	54
hla	1998	2	256
interaction	1998	2	5
model	1998	2	22
mutation	1998	2	121
nonparametric	1998	2	300
pedigree	1998	2	36
region	1998	2	73
relative	1998	2	189
response	1998	2	177
site	1998	2	608
three	1998	2	481
tnf	1998	2	1274
use	1998	2	177
woman	1998	2	189
abstract	1998	1	920
adhd	1998	1	920
allele	1998	1	119
allelic	1998	1	326
alternative	1998	1	287
american	1998	1	111
